model,roc_auc,pr_auc,recall_at_1pct_fpr,precision_at_1pct,inference_time_ms
Isolation Forest,0.9563005262276763,0.9632039694359401,0.6041147132169576,1.0,0.039066314697265625
Autoencoder,0.8719383038234316,0.8810820176384127,0.16552369077306733,0.9642857142857143,0.09287810325622559
LOF,0.8507912063180189,0.8718667968115987,0.1433915211970075,0.8928571428571429,0.4689781665802002
